First 25 users - Sorted by Age → First Name → Last Name

=== MERGE SORT STATISTICS ===
Time: 0.000102000 seconds
Comparisons: 89
Writes: 118
Auxiliary Memory (max elements): 25
Recursion Depth: 5

=== BUBBLE SORT STATISTICS ===
Time: 0.000103300 seconds
Comparisons: 294
Swaps: 150
Auxiliary Memory (max elements): 1
Recursion Depth: 0

=== SORTED DATA ===
  Age:  19, First Name: Binh      , Last Name: Vu        
  Age:  23, First Name: Cuong     , Last Name: Dang      
  Age:  23, First Name: Huong     , Last Name: Vu        
  Age:  23, First Name: Lan       , Last Name: Do        
  Age:  26, First Name: Thu       , Last Name: Tran      
  Age:  33, First Name: Dung      , Last Name: Phan      
  Age:  35, First Name: San       , Last Name: Vo        
  Age:  37, First Name: Xuan      , Last Name: Ly        
  Age:  40, First Name: Khanh     , Last Name: Phan      
  Age:  40, First Name: Nga       , Last Name: Tran      
  Age:  42, First Name: Linh      , Last Name: Bui       
  Age:  44, First Name: Kim       , Last Name: Le        
  Age:  44, First Name: Son       , Last Name: Hoang     
  Age:  45, First Name: Kim       , Last Name: Ly        
  Age:  46, First Name: Nhan      , Last Name: Phan      
  Age:  50, First Name: Nam       , Last Name: Phan      
  Age:  51, First Name: Quan      , Last Name: Le        
  Age:  51, First Name: Uyen      , Last Name: Tran      
  Age:  52, First Name: Van       , Last Name: Nguyen    
  Age:  53, First Name: Tu        , Last Name: Bui       
  Age:  53, First Name: Vinh      , Last Name: Dang      
  Age:  55, First Name: San       , Last Name: Pham      
  Age:  55, First Name: Thi       , Last Name: Nguyen    
  Age:  60, First Name: Nhan      , Last Name: Vo        
  Age:  62, First Name: Hai       , Last Name: Le        
