First 500 users - Sorted by Age → First Name → Last Name

=== MERGE SORT STATISTICS ===
Time: 0.000969400 seconds
Comparisons: 3,855
Writes: 4,488
Auxiliary Memory (max elements): 500
Recursion Depth: 9

=== BUBBLE SORT STATISTICS ===
Time: 0.016333000 seconds
Comparisons: 123,804
Swaps: 62,962
Auxiliary Memory (max elements): 1
Recursion Depth: 0

=== SORTED DATA ===
  Age:  18, First Name: Binh      , Last Name: Vo        
  Age:  18, First Name: Hanh      , Last Name: Vo        
  Age:  18, First Name: Huong     , Last Name: Nguyen    
  Age:  18, First Name: Linh      , Last Name: Hoang     
  Age:  18, First Name: Nhi       , Last Name: Dang      
  Age:  18, First Name: Quynh     , Last Name: Le        
  Age:  18, First Name: Tam       , Last Name: Le        
  Age:  18, First Name: Thinh     , Last Name: Ngo       
  Age:  18, First Name: Thuy      , Last Name: Phan      
  Age:  18, First Name: Tin       , Last Name: Le        
  Age:  18, First Name: Uyen      , Last Name: Bui       
  Age:  18, First Name: Yen       , Last Name: Hoang     
  Age:  19, First Name: Binh      , Last Name: Le        
  Age:  19, First Name: Binh      , Last Name: Vu        
  Age:  19, First Name: Hai       , Last Name: Bui       
  Age:  19, First Name: Quan      , Last Name: Tran      
  Age:  19, First Name: Thi       , Last Name: Tran      
  Age:  19, First Name: Toan      , Last Name: Le        
  Age:  19, First Name: Trinh     , Last Name: Hoang     
  Age:  19, First Name: Truong    , Last Name: Phan      
  Age:  19, First Name: Yen       , Last Name: Vo        
  Age:  20, First Name: An        , Last Name: Vo        
  Age:  20, First Name: Chau      , Last Name: Vo        
  Age:  20, First Name: Dat       , Last Name: Ho        
  Age:  20, First Name: Dat       , Last Name: Le        
  Age:  20, First Name: Hien      , Last Name: Do        
  Age:  20, First Name: Hien      , Last Name: Phan      
  Age:  20, First Name: Hung      , Last Name: Pham      
  Age:  20, First Name: Loc       , Last Name: Ngo       
  Age:  20, First Name: Minh      , Last Name: Le        
  Age:  20, First Name: Tai       , Last Name: Vo        
  Age:  20, First Name: Tho       , Last Name: Ngo       
  Age:  20, First Name: Thuy      , Last Name: Pham      
  Age:  20, First Name: Van       , Last Name: Ly        
  Age:  20, First Name: Vinh      , Last Name: Do        
  Age:  21, First Name: Bao       , Last Name: Le        
  Age:  21, First Name: Hanh      , Last Name: Ho        
  Age:  21, First Name: Phuc      , Last Name: Pham      
  Age:  21, First Name: Thi       , Last Name: Nguyen    
  Age:  21, First Name: Trung     , Last Name: Ho        
  Age:  21, First Name: Van       , Last Name: Dang      
  Age:  21, First Name: Vinh      , Last Name: Nguyen    
  Age:  21, First Name: Xuan      , Last Name: Bui       
  Age:  22, First Name: Giang     , Last Name: Hoang     
  Age:  22, First Name: Hung      , Last Name: Vu        
  Age:  22, First Name: Thinh     , Last Name: Pham      
  Age:  22, First Name: Trang     , Last Name: Le        
  Age:  22, First Name: Uyen      , Last Name: Ho        
  Age:  22, First Name: Vy        , Last Name: Ly        
  Age:  23, First Name: An        , Last Name: Vu        
  Age:  23, First Name: Cuong     , Last Name: Dang      
  Age:  23, First Name: Huong     , Last Name: Vu        
  Age:  23, First Name: Khanh     , Last Name: Vu        
  Age:  23, First Name: Lan       , Last Name: Do        
  Age:  23, First Name: Nga       , Last Name: Vo        
  Age:  23, First Name: Phuc      , Last Name: Do        
  Age:  23, First Name: Phuong    , Last Name: Vo        
  Age:  23, First Name: San       , Last Name: Hoang     
  Age:  23, First Name: Tam       , Last Name: Vu        
  Age:  23, First Name: Thao      , Last Name: Dang      
  Age:  23, First Name: Thien     , Last Name: Hoang     
  Age:  23, First Name: Thu       , Last Name: Pham      
  Age:  23, First Name: Xuan      , Last Name: Bui       
  Age:  23, First Name: Yen       , Last Name: Ngo       
  Age:  24, First Name: Cuong     , Last Name: Do        
  Age:  24, First Name: Cuong     , Last Name: Do        
  Age:  24, First Name: Gia       , Last Name: Hoang     
  Age:  24, First Name: Hai       , Last Name: Vo        
  Age:  24, First Name: Hoa       , Last Name: Duong     
  Age:  24, First Name: My        , Last Name: Hoang     
  Age:  24, First Name: Tai       , Last Name: Le        
  Age:  24, First Name: Tho       , Last Name: Ngo       
  Age:  24, First Name: Tuyen     , Last Name: Bui       
  Age:  24, First Name: Tuyen     , Last Name: Do        
  Age:  25, First Name: Chau      , Last Name: Hoang     
  Age:  25, First Name: Cuong     , Last Name: Vu        
  Age:  25, First Name: Phuc      , Last Name: Tran      
  Age:  25, First Name: Phuong    , Last Name: Hoang     
  Age:  25, First Name: Quang     , Last Name: Bui       
  Age:  25, First Name: Viet      , Last Name: Ho        
  Age:  25, First Name: Vinh      , Last Name: Ho        
  Age:  26, First Name: Hoa       , Last Name: Vu        
  Age:  26, First Name: Thi       , Last Name: Bui       
  Age:  26, First Name: Thu       , Last Name: Tran      
  Age:  26, First Name: Trinh     , Last Name: Bui       
  Age:  26, First Name: Van       , Last Name: Tran      
  Age:  27, First Name: Dat       , Last Name: Dang      
  Age:  27, First Name: Hoa       , Last Name: Nguyen    
  Age:  27, First Name: Quynh     , Last Name: Phan      
  Age:  27, First Name: San       , Last Name: Vo        
  Age:  27, First Name: Thi       , Last Name: Ly        
  Age:  27, First Name: Thien     , Last Name: Le        
  Age:  27, First Name: Thinh     , Last Name: Do        
  Age:  27, First Name: Tuyen     , Last Name: Phan      
  Age:  27, First Name: Viet      , Last Name: Ly        
  Age:  27, First Name: Vy        , Last Name: Duong     
  Age:  28, First Name: Dat       , Last Name: Pham      
  Age:  28, First Name: Hoang     , Last Name: Do        
  Age:  28, First Name: Huong     , Last Name: Dang      
  Age:  28, First Name: My        , Last Name: Phan      
  Age:  28, First Name: Thanh     , Last Name: Vo        
  Age:  28, First Name: Thanh     , Last Name: Vu        
  Age:  28, First Name: Trinh     , Last Name: Dang      
  Age:  28, First Name: Van       , Last Name: Bui       
  Age:  28, First Name: Xuan      , Last Name: Vo        
  Age:  29, First Name: Cuong     , Last Name: Le        
  Age:  29, First Name: Giang     , Last Name: Ngo       
  Age:  29, First Name: Khanh     , Last Name: Ho        
  Age:  29, First Name: Long      , Last Name: Vo        
  Age:  29, First Name: Nam       , Last Name: Le        
  Age:  29, First Name: Phuong    , Last Name: Phan      
  Age:  29, First Name: Thi       , Last Name: Pham      
  Age:  29, First Name: Tho       , Last Name: Dang      
  Age:  29, First Name: Tu        , Last Name: Dang      
  Age:  29, First Name: Tu        , Last Name: Hoang     
  Age:  29, First Name: Uyen      , Last Name: Tran      
  Age:  29, First Name: Yen       , Last Name: Pham      
  Age:  30, First Name: Hung      , Last Name: Duong     
  Age:  30, First Name: Khoa      , Last Name: Tran      
  Age:  30, First Name: Loc       , Last Name: Ly        
  Age:  30, First Name: Loc       , Last Name: Ngo       
  Age:  30, First Name: Long      , Last Name: Ho        
  Age:  30, First Name: Nam       , Last Name: Ngo       
  Age:  30, First Name: Nhung     , Last Name: Duong     
  Age:  30, First Name: Son       , Last Name: Bui       
  Age:  30, First Name: Tin       , Last Name: Bui       
  Age:  30, First Name: Trinh     , Last Name: Nguyen    
  Age:  31, First Name: Khoa      , Last Name: Tran      
  Age:  31, First Name: Mai       , Last Name: Nguyen    
  Age:  31, First Name: Tai       , Last Name: Do        
  Age:  31, First Name: Thu       , Last Name: Nguyen    
  Age:  31, First Name: Toan      , Last Name: Pham      
  Age:  32, First Name: An        , Last Name: Vo        
  Age:  32, First Name: Chau      , Last Name: Nguyen    
  Age:  32, First Name: Cuong     , Last Name: Le        
  Age:  32, First Name: Dung      , Last Name: Ly        
  Age:  32, First Name: Hoa       , Last Name: Pham      
  Age:  32, First Name: Nam       , Last Name: Ngo       
  Age:  32, First Name: Nam       , Last Name: Nguyen    
  Age:  32, First Name: Quan      , Last Name: Bui       
  Age:  32, First Name: Thuy      , Last Name: Phan      
  Age:  33, First Name: Cuong     , Last Name: Tran      
  Age:  33, First Name: Duc       , Last Name: Duong     
  Age:  33, First Name: Dung      , Last Name: Phan      
  Age:  33, First Name: Nhan      , Last Name: Vo        
  Age:  33, First Name: Thao      , Last Name: Bui       
  Age:  33, First Name: Tin       , Last Name: Ly        
  Age:  33, First Name: Vinh      , Last Name: Nguyen    
  Age:  33, First Name: Vy        , Last Name: Phan      
  Age:  34, First Name: An        , Last Name: Hoang     
  Age:  34, First Name: My        , Last Name: Hoang     
  Age:  34, First Name: Nhi       , Last Name: Dang      
  Age:  34, First Name: Thao      , Last Name: Ho        
  Age:  34, First Name: Tuyen     , Last Name: Dang      
  Age:  35, First Name: Binh      , Last Name: Bui       
  Age:  35, First Name: Duc       , Last Name: Ho        
  Age:  35, First Name: Gia       , Last Name: Vo        
  Age:  35, First Name: Hanh      , Last Name: Nguyen    
  Age:  35, First Name: Khanh     , Last Name: Pham      
  Age:  35, First Name: Linh      , Last Name: Dang      
